iter	Logloss
0	0.5938257217
1	0.4959482233
2	0.4387338126
3	0.3982467834
4	0.3583092763
5	0.3224519098
6	0.296258857
7	0.2790665427
8	0.2638112275
9	0.2496430936
10	0.237763187
11	0.2225292835
12	0.2126036581
13	0.2052820867
14	0.1995796836
15	0.191455919
16	0.1854799243
17	0.1817404302
18	0.1767006516
19	0.1733532294
20	0.1700280902
21	0.1671455849
22	0.1642164969
23	0.1620524859
24	0.1587132921
25	0.1567043805
26	0.1542768596
27	0.1510803345
28	0.1494785481
29	0.1483757873
30	0.1471443461
31	0.1458439614
32	0.1433538668
33	0.1415341368
34	0.1406003541
35	0.1397402283
36	0.1374900861
37	0.1363802619
38	0.1359002226
39	0.1345112231
40	0.1336684946
41	0.1326059487
42	0.1319294531
43	0.1315378512
44	0.1309495321
45	0.13002848
46	0.1291177945
47	0.1286477206
48	0.1278997911
49	0.126160751
50	0.12574251
51	0.1253645013
52	0.1246193336
53	0.1235433244
54	0.1231860902
55	0.1222204146
56	0.1217150224
57	0.1214539774
58	0.1209529944
59	0.120364472
60	0.1201214212
61	0.1195172193
62	0.1191575554
63	0.118604926
64	0.1181996392
65	0.1178496868
66	0.1174534826
67	0.1170475618
68	0.1163313366
69	0.1157906856
70	0.1153690763
71	0.1149807625
72	0.1146305064
73	0.1142533838
74	0.1137699827
75	0.1133833074
76	0.1128965592
77	0.1116145633
78	0.110975136
79	0.1103906034
80	0.1096228763
81	0.109304649
82	0.1084178244
83	0.1081848502
84	0.1078196878
85	0.1075569365
86	0.1070229922
87	0.106695712
88	0.1064457939
89	0.1062683902
90	0.1060587307
91	0.1059010544
92	0.1057702437
93	0.1055633127
94	0.1052378484
95	0.1049791416
96	0.1048391018
97	0.1046636032
98	0.1045286457
99	0.1041154937
100	0.1038212183
101	0.1037314001
102	0.1035862565
103	0.1033798648
104	0.1032473189
105	0.1030907114
106	0.1029783939
107	0.1028695227
108	0.102715492
109	0.1025864172
110	0.1023706872
111	0.1020736094
112	0.1019633277
113	0.1015038253
114	0.101260761
115	0.101115411
116	0.1008562156
117	0.100472739
118	0.1002881137
119	0.1002522633
120	0.1001603708
121	0.1000984389
122	0.09977094069
123	0.0995699535
124	0.09937571448
125	0.09918505268
126	0.09888987426
127	0.0986842047
128	0.09855295393
129	0.0984042045
130	0.09821902773
131	0.09772710699
132	0.09752148272
133	0.09730325098
134	0.09726060636
135	0.09705664375
136	0.09691940573
137	0.09682412205
138	0.09675157402
139	0.09667297928
140	0.09643076952
141	0.09625528474
142	0.09600003444
143	0.09592290604
144	0.09538712641
145	0.0952274683
146	0.0951096014
147	0.09497651261
148	0.09484124321
149	0.09468042418
150	0.09455456987
151	0.09439449995
152	0.09422347395
153	0.09404687727
154	0.0937880749
155	0.09351033259
156	0.0933934887
157	0.09332549586
158	0.09315653725
159	0.09300849772
160	0.09297486158
161	0.09262349603
162	0.09254463687
163	0.09245065166
164	0.09235383397
165	0.09218461748
166	0.09201689091
167	0.09185769578
168	0.09172306123
169	0.09160577068
170	0.09142953133
171	0.09133856616
172	0.09124341506
